Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Structure
Ba2PrF7,Triclinic,P1,1,10,0.044644,-4.21706,FALSE,183.588,4.961597,6.2167,FALSE,FALSE,NM,0.003211,2.996871,19.73045,17.2943,"# generated using pymatgen
  data_Ba2PrF7
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 4.39560400
  _cell_length_b 4.41989216
  _cell_length_c 9.81381450
  _cell_angle_alpha 100.84850792
  _cell_angle_beta 101.30935273
  _cell_angle_gamma 88.91932672
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Ba2PrF7
  _chemical_formula_sum 'Ba2 Pr1 F7'
  _cell_volume 183.58796415
  _cell_formula_units_Z 1
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ba Ba0 1 0.99730500 0.98718200 0.99261600 1
  Ba Ba1 1 0.65170000 0.63306900 0.31757800 1
  Pr Pr2 1 0.39982800 0.40296500 0.67530400 1
  F F3 1 0.21579200 0.66394400 0.48658400 1
  F F4 1 0.58131600 0.06848500 0.16154800 1
  F F5 1 0.08510000 0.56241900 0.15768300 1
  F F6 1 0.52349000 0.50488400 0.92877200 1
  F F7 1 0.42930900 0.94236700 0.76393700 1
  F F8 1 0.93396000 0.50416300 0.76140400 1
  F F9 1 0.68886700 0.19719000 0.49790700 1"
Ba2Ti(GeO4)2,Tetragonal,P4bm,100,26,0,-2.89186,TRUE,429.6159,4.605709,3.7129,FALSE,FALSE,NM,0.000191,3.07186,27.29408,23.84261,"# generated using pymatgen
  data_Ba2Ti(GeO4)2
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 8.84839800
  _cell_length_b 8.84839800
  _cell_length_c 5.48720300
  _cell_angle_alpha 90.00000000
  _cell_angle_beta 90.00000000
  _cell_angle_gamma 90.00000000
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Ba2Ti(GeO4)2
  _chemical_formula_sum 'Ba4 Ti2 Ge4 O16'
  _cell_volume 429.61587921
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ba Ba0 1 0.82814500 0.32814500 0.01554400 1
  Ba Ba1 1 0.32814500 0.17185500 0.01554400 1
  Ba Ba2 1 0.17185500 0.67185500 0.01554400 1
  Ba Ba3 1 0.67185500 0.82814500 0.01554400 1
  Ti Ti4 1 0.00000000 0.00000000 0.45359400 1
  Ti Ti5 1 0.50000000 0.50000000 0.45359400 1
  Ge Ge6 1 0.63229900 0.13229900 0.49148800 1
  Ge Ge7 1 0.13229900 0.36770100 0.49148800 1
  Ge Ge8 1 0.36770100 0.86770100 0.49148800 1
  Ge Ge9 1 0.86770100 0.63229900 0.49148800 1
  O O10 1 0.00000000 0.00000000 0.76363800 1
  O O11 1 0.50000000 0.50000000 0.76363800 1
  O O12 1 0.87190600 0.62809400 0.80627700 1
  O O13 1 0.12809400 0.37190600 0.80627700 1
  O O14 1 0.08085300 0.19851200 0.34133400 1
  O O15 1 0.69851200 0.58085300 0.34133400 1
  O O16 1 0.30148800 0.41914700 0.34133400 1
  O O17 1 0.50000000 0.00000000 0.35403400 1
  O O18 1 0.80148800 0.08085300 0.34133400 1
  O O19 1 0.19851200 0.91914700 0.34133400 1
  O O20 1 0.58085300 0.30148800 0.34133400 1
  O O21 1 0.41914700 0.69851200 0.34133400 1
  O O22 1 0.91914700 0.80148800 0.34133400 1
  O O23 1 0.00000000 0.50000000 0.35403400 1
  O O24 1 0.62809400 0.12809400 0.80627700 1
  O O25 1 0.37190600 0.87190600 0.80627700 1"
Ba2TiOF6,Monoclinic,Cc,9,20,0.010475,-3.98946,FALSE,322.6618,4.657582,3.6382,FALSE,FALSE,NM,0,1.116007,13.2582,10.44267,"# generated using pymatgen
  data_Ba2TiOF6
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 7.47990073
  _cell_length_b 7.47990073
  _cell_length_c 7.32897958
  _cell_angle_alpha 62.51077590
  _cell_angle_beta 62.51077590
  _cell_angle_gamma 78.24439598
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Ba2TiOF6
  _chemical_formula_sum 'Ba4 Ti2 O2 F12'
  _cell_volume 322.66182527
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ba Ba0 1 0.17719800 0.41924800 0.15622100 1
  Ba Ba1 1 0.17328200 0.82743000 0.50068100 1
  Ba Ba2 1 0.82743000 0.17328200 0.00068100 1
  Ba Ba3 1 0.41924800 0.17719800 0.65622100 1
  Ti Ti4 1 0.68009600 0.66723600 0.08620300 1
  Ti Ti5 1 0.66723600 0.68009600 0.58620300 1
  O O6 1 0.60641200 0.73121100 0.36429700 1
  O O7 1 0.73121100 0.60641200 0.86429700 1
  F F8 1 0.15555600 0.07302900 0.10812700 1
  F F9 1 0.57338900 0.39916300 0.76400900 1
  F F10 1 0.60502200 0.94160400 0.94935200 1
  F F11 1 0.39742100 0.76150300 0.76450600 1
  F F12 1 0.94798700 0.76099100 0.97986700 1
  F F13 1 0.44565300 0.15476900 0.28363700 1
  F F14 1 0.15476900 0.44565300 0.78363700 1
  F F15 1 0.94160400 0.60502200 0.44935200 1
  F F16 1 0.76150300 0.39742100 0.26450600 1
  F F17 1 0.39916300 0.57338900 0.26400900 1
  F F18 1 0.07302900 0.15555600 0.60812700 1
  F F19 1 0.76099100 0.94798700 0.47986700 1"
Ba3Ti3(BO6)2,Hexagonal,P-62m,189,20,0.026881,-3.34038,FALSE,263.9583,4.838951,2.1313,FALSE,FALSE,NM,0.001129,2.642688,30.53102,25.45801,"# generated using pymatgen
  data_Ba3Ti3(BO6)2
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 8.88921474
  _cell_length_b 8.88921474
  _cell_length_c 3.85725100
  _cell_angle_alpha 90.00000000
  _cell_angle_beta 90.00000000
  _cell_angle_gamma 120.00000552
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Ba3Ti3(BO6)2
  _chemical_formula_sum 'Ba3 Ti3 B2 O12'
  _cell_volume 263.95828834
  _cell_formula_units_Z 1
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ba Ba0 1 0.40428500 0.40428500 0.50000000 1
  Ba Ba1 1 0.59571500 0.00000000 0.50000000 1
  Ba Ba2 1 0.00000000 0.59571500 0.50000000 1
  Ti Ti3 1 0.76541600 0.76541600 0.00000000 1
  Ti Ti4 1 0.23458400 0.00000000 0.00000000 1
  Ti Ti5 1 0.00000000 0.23458400 0.00000000 1
  B B6 1 0.66666700 0.33333300 0.00000000 1
  B B7 1 0.33333300 0.66666700 0.00000000 1
  O O8 1 0.18509400 0.50565700 0.00000000 1
  O O9 1 0.50565700 0.18509400 0.00000000 1
  O O10 1 0.81490600 0.32056300 0.00000000 1
  O O11 1 0.67943700 0.49434300 0.00000000 1
  O O12 1 0.49434300 0.67943700 0.00000000 1
  O O13 1 0.32056300 0.81490600 0.00000000 1
  O O14 1 0.00000000 0.26355000 0.50000000 1
  O O15 1 0.26355000 0.00000000 0.50000000 1
  O O16 1 0.73645000 0.73645000 0.50000000 1
  O O17 1 0.00000000 0.81540600 0.00000000 1
  O O18 1 0.81540600 0.00000000 0.00000000 1
  O O19 1 0.18459400 0.18459400 0.00000000 1"
Ba3WO6,Triclinic,P1,1,20,0.103687,-2.7589,FALSE,367.4141,6.253379,2.32,FALSE,FALSE,NM,0.001423,1.016538,20.18196,15.99206,"# generated using pymatgen
  data_Ba3WO6
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 6.61587000
  _cell_length_b 6.91937571
  _cell_length_c 8.06584679
  _cell_angle_alpha 90.22282810
  _cell_angle_beta 90.09071889
  _cell_angle_gamma 95.68834431
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Ba3WO6
  _chemical_formula_sum 'Ba6 W2 O12'
  _cell_volume 367.41412924
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ba Ba0 1 0.03588400 0.02023800 0.02184400 1
  Ba Ba1 1 0.02842600 0.02770000 0.54758400 1
  Ba Ba2 1 0.92999400 0.53886300 0.28739800 1
  Ba Ba3 1 0.44563100 0.41394800 0.01851300 1
  Ba Ba4 1 0.44506700 0.41253400 0.56593400 1
  Ba Ba5 1 0.55140300 0.91106600 0.79052900 1
  W W6 1 0.94957700 0.51826100 0.79245000 1
  W W7 1 0.47592400 0.95881500 0.29028400 1
  O O8 1 0.04179100 0.40112400 0.57912600 1
  O O9 1 0.81612100 0.67935900 0.95503300 1
  O O10 1 0.73281300 0.30952200 0.78979100 1
  O O11 1 0.82139000 0.68935300 0.63621500 1
  O O12 1 0.61077200 0.05145100 0.10214500 1
  O O13 1 0.57315200 0.70970700 0.29069500 1
  O O14 1 0.61260700 0.05382200 0.47780900 1
  O O15 1 0.27439100 0.13325300 0.78393000 1
  O O16 1 0.31655500 0.19069600 0.29027900 1
  O O17 1 0.20446600 0.82439300 0.29019400 1
  O O18 1 0.22998500 0.65060100 0.79777500 1
  O O19 1 0.04205200 0.39229400 0.00247200 1"
Ba4Nb2WO12,Trigonal,R3m,160,19,0,-3.10069,TRUE,284.8505,6.476315,2.7361,TRUE,FALSE,NM,0.000109,2.749991,73.69326,68.75058,"# generated using pymatgen
  data_Ba4Nb2WO12
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 10.12285077
  _cell_length_b 10.12285077
  _cell_length_c 10.12285031
  _cell_angle_alpha 33.72222992
  _cell_angle_beta 33.72222992
  _cell_angle_gamma 33.72223174
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural Ba4Nb2WO12
  _chemical_formula_sum 'Ba4 Nb2 W1 O12'
  _cell_volume 284.85053084
  _cell_formula_units_Z 1
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ba Ba0 1 0.28914300 0.28914300 0.28914300 1
  Ba Ba1 1 0.71189200 0.71189200 0.71189200 1
  Ba Ba2 1 0.13533400 0.13533400 0.13533400 1
  Ba Ba3 1 0.86538500 0.86538500 0.86538500 1
  Nb Nb4 1 0.00147100 0.00147100 0.00147100 1
  Nb Nb5 1 0.42377300 0.42377300 0.42377300 1
  W W6 1 0.58004000 0.58004000 0.58004000 1
  O O7 1 0.29673500 0.78893300 0.78893300 1
  O O8 1 0.78893300 0.78893300 0.29673500 1
  O O9 1 0.78893300 0.29673500 0.78893300 1
  O O10 1 0.71252700 0.20150800 0.20150800 1
  O O11 1 0.20150800 0.20150800 0.71252700 1
  O O12 1 0.20150800 0.71252700 0.20150800 1
  O O13 1 0.12576400 0.61752500 0.61752500 1
  O O14 1 0.61752500 0.61752500 0.12576400 1
  O O15 1 0.61752500 0.12576400 0.61752500 1
  O O16 1 0.86483000 0.38858800 0.38858800 1
  O O17 1 0.38858800 0.38858800 0.86483000 1
  O O18 1 0.38858800 0.86483000 0.38858800 1"
BaAlSi5N7O2,Triclinic,P1,1,16,0,-1.80399,TRUE,199.9927,3.609992,4.0159,FALSE,FALSE,NM,0.00068,1.528741,13.65874,9.659647,"# generated using pymatgen
  data_BaAlSi5N7O2
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 4.93246200
  _cell_length_b 6.82320708
  _cell_length_c 6.88222041
  _cell_angle_alpha 74.47875450
  _cell_angle_beta 69.54018105
  _cell_angle_gamma 69.08252734
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural BaAlSi5N7O2
  _chemical_formula_sum 'Ba1 Al1 Si5 N7 O2'
  _cell_volume 199.99268020
  _cell_formula_units_Z 1
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ba Ba0 1 0.20034300 0.01149000 0.99403400 1
  Al Al1 1 0.82232000 0.53143400 0.14712800 1
  Si Si2 1 0.32145300 0.33520900 0.33386200 1
  Si Si3 1 0.99086700 0.65843800 0.65847600 1
  Si Si4 1 0.50344200 0.46445300 0.85468300 1
  Si Si5 1 0.81412400 0.14412900 0.53593500 1
  Si Si6 1 0.48753000 0.85933800 0.47642300 1
  N N7 1 0.23833100 0.45026200 0.09905300 1
  N N8 1 0.76771800 0.55906300 0.88807400 1
  N N9 1 0.21413100 0.10156900 0.44924800 1
  N N10 1 0.77224500 0.89491100 0.54702400 1
  N N11 1 0.68724100 0.30191700 0.32042400 1
  N N12 1 0.31378100 0.68606800 0.68374000 1
  N N13 1 0.63406700 0.22378400 0.77393600 1
  O O14 1 0.07071700 0.50033400 0.49235800 1
  O O15 1 0.62005100 0.77760200 0.24560300 1"
BaBeSiO4,Monoclinic,Cm,8,7,0,-3.32216,TRUE,99.41018,3.982585,4.4231,FALSE,FALSE,NM,0,1.711732,10.3311,7.394651,"# generated using pymatgen
  data_BaBeSiO4
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 5.12008946
  _cell_length_b 5.19298789
  _cell_length_c 5.19298588
  _cell_angle_alpha 61.12163874
  _cell_angle_beta 60.65268866
  _cell_angle_gamma 60.65271269
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural BaBeSiO4
  _chemical_formula_sum 'Ba1 Be1 Si1 O4'
  _cell_volume 99.41018228
  _cell_formula_units_Z 1
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ba Ba0 1 0.02670100 0.98654500 0.98654600 1
  Be Be1 1 0.26396300 0.25201200 0.25201200 1
  Si Si2 1 0.51505900 0.50077400 0.50077400 1
  O O3 1 0.44012800 0.37583800 0.87812000 1
  O O4 1 0.88907000 0.32855500 0.32855500 1
  O O5 1 0.44012600 0.87812000 0.37583600 1
  O O6 1 0.28565300 0.42715600 0.42715800 1"
BaCO3,Orthorhombic,Pnn2,34,10,0.075824,-2.60484,FALSE,173.1643,3.784661,4.0966,TRUE,FALSE,NM,0.000103,1.6529,13.92336,11.23765,"# generated using pymatgen
  data_BaCO3
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 4.48615500
  _cell_length_b 5.46667700
  _cell_length_c 7.06090800
  _cell_angle_alpha 90.00000000
  _cell_angle_beta 90.00000000
  _cell_angle_gamma 90.00000000
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural BaCO3
  _chemical_formula_sum 'Ba2 C2 O6'
  _cell_volume 173.16425224
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ba Ba0 1 0.50000000 0.01080100 0.50000000 1
  Ba Ba1 1 0.00000000 0.51080100 0.00000000 1
  C C2 1 0.50000000 0.00006200 0.00000000 1
  C C3 1 0.00000000 0.50006200 0.50000000 1
  O O4 1 0.50000000 0.23791200 0.00000000 1
  O O5 1 0.86470100 0.37122800 0.36625500 1
  O O6 1 0.00000000 0.73791200 0.50000000 1
  O O7 1 0.63529900 0.87122800 0.86625500 1
  O O8 1 0.13529900 0.37122800 0.63374500 1
  O O9 1 0.36470100 0.87122800 0.13374500 1"
BaCa(GaO2)4,Orthorhombic,Imm2,44,14,0,-2.63189,TRUE,202.9543,4.780583,3.0678,FALSE,FALSE,NM,0.000716,1.109914,12.86058,9.326579,"# generated using pymatgen
  data_BaCa(GaO2)4
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 6.76962977
  _cell_length_b 6.76962977
  _cell_length_c 6.76962977
  _cell_angle_alpha 134.46655526
  _cell_angle_beta 103.99265873
  _cell_angle_gamma 93.30835598
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural BaCa(GaO2)4
  _chemical_formula_sum 'Ba1 Ca1 Ga4 O8'
  _cell_volume 202.95434093
  _cell_formula_units_Z 1
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ba Ba0 1 0.00000000 0.00537000 0.00537000 1
  Ca Ca1 1 0.50000000 0.93216700 0.43216700 1
  Ga Ga2 1 0.87552200 0.62737000 0.16917500 1
  Ga Ga3 1 0.54180500 0.29365200 0.16917500 1
  Ga Ga4 1 0.12447800 0.29365200 0.75184700 1
  Ga Ga5 1 0.45819500 0.62737000 0.75184700 1
  O O6 1 0.45987100 0.26915900 0.39782900 1
  O O7 1 0.54012900 0.93795800 0.80928900 1
  O O8 1 0.80897100 0.57423700 0.38320800 1
  O O9 1 0.19102900 0.57423700 0.76526600 1
  O O10 1 0.12867000 0.93795800 0.39782900 1
  O O11 1 0.87133000 0.26915900 0.80928900 1
  O O12 1 0.32918100 0.41778600 0.08860500 1
  O O13 1 0.67081900 0.75942400 0.08860500 1"
BaCoO2,Trigonal,P3_121,152,12,0,-2.0728,TRUE,202.5098,5.615032,0.3967,TRUE,FALSE,FM,9,1.504328,15.79333,11.12266,"# generated using pymatgen
  data_BaCoO2
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 5.87493798
  _cell_length_b 5.87490532
  _cell_length_c 6.77497897
  _cell_angle_alpha 89.99860008
  _cell_angle_beta 90.00101727
  _cell_angle_gamma 119.99925163
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural BaCoO2
  _chemical_formula_sum 'Ba3 Co3 O6'
  _cell_volume 202.50978673
  _cell_formula_units_Z 3
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ba Ba0 1 0.65375574 0.00001238 0.83332609 1
  Ba Ba1 1 0.00000774 0.65374451 0.16664624 1
  Ba Ba2 1 0.34626103 0.34626023 0.50000036 1
  Co Co3 1 0.58779595 0.00002285 0.33334404 1
  Co Co4 1 -0.00000191 0.58777110 0.66665033 1
  Co Co5 1 0.41223696 0.41222898 -0.00000017 1
  O O6 1 0.13215598 0.43233594 0.87008298 1
  O O7 1 0.56764609 0.69976539 0.20345007 1
  O O8 1 0.30018853 0.86785317 0.53676876 1
  O O9 1 0.69974988 0.56759967 0.79657827 1
  O O10 1 0.86783284 0.30024259 0.46323581 1
  O O11 1 0.43237219 0.13216521 0.12991422 1"
BaGa2GeS6,Triclinic,P1,1,10,0,-1.22501,TRUE,241.6498,3.723095,2.7663,FALSE,FALSE,NM,0.000556,1.122958,15.09982,9.44136,"# generated using pymatgen
  data_BaGa2GeS6
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 6.30377100
  _cell_length_b 6.35148674
  _cell_length_c 6.40036978
  _cell_angle_alpha 100.45015345
  _cell_angle_beta 101.08314395
  _cell_angle_gamma 99.81176935
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural BaGa2GeS6
  _chemical_formula_sum 'Ba1 Ga2 Ge1 S6'
  _cell_volume 241.64979825
  _cell_formula_units_Z 1
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ba Ba0 1 0.05672700 0.05686500 0.06052900 1
  Ga Ga1 1 0.51582000 0.66510700 0.24398300 1
  Ga Ga2 1 0.24750400 0.52524700 0.65940900 1
  Ge Ge3 1 0.66325500 0.24382700 0.52012000 1
  S S4 1 0.92652500 0.47123100 0.79128300 1
  S S5 1 0.79698400 0.93689800 0.48176300 1
  S S6 1 0.47728400 0.79476800 0.93155400 1
  S S7 1 0.33587800 0.18399000 0.60893100 1
  S S8 1 0.61523000 0.32839800 0.19170300 1
  S S9 1 0.17963200 0.60850900 0.32556500 1"
BaGe7N10,Monoclinic,Pc,7,36,0,-0.35507,TRUE,516.4872,5.053269,2.1552,FALSE,FALSE,NM,0.002635,1.15375,18.58526,13.48566,"# generated using pymatgen
  data_BaGe7N10
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 7.14696700
  _cell_length_b 7.31781700
  _cell_length_c 10.27104617
  _cell_angle_alpha 74.04606042
  _cell_angle_beta 90.00000000
  _cell_angle_gamma 90.00000000
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural BaGe7N10
  _chemical_formula_sum 'Ba2 Ge14 N20'
  _cell_volume 516.48724442
  _cell_formula_units_Z 2
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ba Ba0 1 0.92949200 0.04190400 0.66805900 1
  Ba Ba1 1 0.07050800 0.04190400 0.16805900 1
  Ge Ge2 1 0.03137200 0.45600900 0.82726900 1
  Ge Ge3 1 0.96862800 0.45600900 0.32726900 1
  Ge Ge4 1 0.97052200 0.64983500 0.01650600 1
  Ge Ge5 1 0.02947800 0.64983500 0.51650600 1
  Ge Ge6 1 0.60828100 0.89057600 0.07270900 1
  Ge Ge7 1 0.39171900 0.89057600 0.57270900 1
  Ge Ge8 1 0.63805000 0.33357700 0.99347800 1
  Ge Ge9 1 0.36195000 0.33357700 0.49347800 1
  Ge Ge10 1 0.37483500 0.15073400 0.80966800 1
  Ge Ge11 1 0.62516500 0.15073400 0.30966800 1
  Ge Ge12 1 0.38054900 0.70460900 0.88355900 1
  Ge Ge13 1 0.61945100 0.70460900 0.38355900 1
  Ge Ge14 1 0.62996100 0.51602900 0.68758700 1
  Ge Ge15 1 0.37003900 0.51602900 0.18758700 1
  N N16 1 0.14379000 0.23342500 0.83658600 1
  N N17 1 0.85621000 0.23342500 0.33658600 1
  N N18 1 0.87627900 0.42736600 0.98015200 1
  N N19 1 0.12372100 0.42736600 0.48015200 1
  N N20 1 0.12653900 0.68423700 0.86126400 1
  N N21 1 0.87346100 0.68423700 0.36126400 1
  N N22 1 0.84287200 0.86199800 0.01387400 1
  N N23 1 0.15712800 0.86199800 0.51387400 1
  N N24 1 0.50220100 0.71791700 0.72349600 1
  N N25 1 0.49779900 0.71791700 0.22349600 1
  N N26 1 0.88417800 0.55996300 0.67359700 1
  N N27 1 0.11582200 0.55996300 0.17359700 1
  N N28 1 0.61406900 0.11258000 0.13265000 1
  N N29 1 0.38593100 0.11258000 0.63265000 1
  N N30 1 0.41600000 0.92115200 0.94171300 1
  N N31 1 0.58400000 0.92115200 0.44171300 1
  N N32 1 0.58989400 0.29304900 0.82390700 1
  N N33 1 0.41010600 0.29304900 0.32390700 1
  N N34 1 0.46289300 0.50274300 0.02322700 1
  N N35 1 0.53710700 0.50274300 0.52322700 1"
BaLaZnRuO6,Triclinic,P1,1,10,0.042115,-2.46756,FALSE,132.9924,6.726292,0.3812,TRUE,FALSE,FM,2.999664,1.554283,32.83931,25.84272,"# generated using pymatgen
  data_BaLaZnRuO6
  _symmetry_space_group_name_H-M 'P 1'
  _cell_length_a 5.69471400
  _cell_length_b 5.71738099
  _cell_length_c 5.72082360
  _cell_angle_alpha 90.43124182
  _cell_angle_beta 119.35121455
  _cell_angle_gamma 119.74964445
  _symmetry_Int_Tables_number 1
  _chemical_formula_structural BaLaZnRuO6
  _chemical_formula_sum 'Ba1 La1 Zn1 Ru1 O6'
  _cell_volume 132.99236216
  _cell_formula_units_Z 1
  loop_
  _symmetry_equiv_pos_site_id
  _symmetry_equiv_pos_as_xyz
  1 'x, y, z'
  loop_
  _atom_site_type_symbol
  _atom_site_label
  _atom_site_symmetry_multiplicity
  _atom_site_fract_x
  _atom_site_fract_y
  _atom_site_fract_z
  _atom_site_occupancy
  Ba Ba0 1 0.49946300 0.75043100 0.24967400 1
  La La1 1 0.48271500 0.24988800 0.73525000 1
  Zn Zn2 1 0.99289900 0.00115900 0.99862400 1
  Ru Ru3 1 0.99989300 0.50047200 0.50142800 1
  O O4 1 0.05066600 0.80555600 0.32233700 1
  O O5 1 0.48588700 0.67947300 0.72128100 1
  O O6 1 0.91006500 0.26104100 0.16757200 1
  O O7 1 0.04755100 0.74097100 0.78845200 1
  O O8 1 0.51790800 0.28685600 0.30554600 1
  O O9 1 0.01295300 0.22415300 0.70983700 1"
